run_id,claim_name,negative_source,adapter_name,adapter_label,selection_role,metric_source,metric,stage3d,baseline_r004,delta_vs_r004
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,primary,When2Call_macro_F1,0.47945062669076555,0.4809919262756403,-0.0015412995848747557
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,primary,behavior_accuracy_on_sft_dev,0.814,0.81,0.0039999999999998925
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,primary,nontrivial_error_rate,0.3466666666666667,0.36,-0.013333333333333308
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,primary,permissive_parse_success,1.0,1.0,0.0
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,primary,schema_validity,1.0,1.0,0.0
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,primary,strict_parse_success,0.9715099715099715,0.9629629629629629,0.008547008547008628
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,primary,tool_call_accuracy_on_sft_dev,0.7521367521367521,0.7549857549857549,-0.002849002849002802
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.argument_accuracy,0.85,0.83,0.020000000000000018
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.function_name_accuracy,0.94,0.95,-0.010000000000000009
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.output_type_accuracy,0.85,0.83,0.020000000000000018
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.tool_hallucination_rate,0.0,0.0,0.0
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,ifeval_style.instruction_level_accuracy,0.7044025157232704,0.7672955974842768,-0.06289308176100639
r028,noised_gold_clean_3k,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,ifeval_style.prompt_level_strict_accuracy,0.5208333333333334,0.6354166666666666,-0.11458333333333326
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.live_multiple,0.65,0.7166666666666667,-0.06666666666666665
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.multiple,0.9,0.9166666666666666,-0.016666666666666607
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.parallel,0.8666666666666667,0.6166666666666667,0.25
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.relevance,0.05,0.13333333333333333,-0.08333333333333333
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.simple,0.9333333333333333,0.95,-0.016666666666666607
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_core_accuracy,0.68,0.6666666666666666,0.01333333333333342
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_behavior_accuracy,0.6333333333333333,0.5733333333333334,0.05999999999999994
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_f1_by_class.direct_answer,0.0,0.0,0.0
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_f1_by_class.follow_up,0.6440677966101694,0.4782608695652174,0.16580692704495203
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_f1_by_class.tool_call,0.7302904564315353,0.6886446886446885,0.04164576778684681
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_f1_by_class.unable,0.7441860465116279,0.7570621468926553,-0.012876100381027378
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_macro_F1,0.5296360748883332,0.4809919262756403,0.048644148612692895
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,behavior_accuracy_on_sft_dev,0.822,0.81,0.0119999999999999
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,nontrivial_error_rate,0.3,0.36,-0.06
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,permissive_parse_success,1.0,1.0,0.0
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,schema_validity,1.0,1.0,0.0
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,strict_parse_success,0.9914529914529915,0.9629629629629629,0.028490028490028574
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,tool_call_accuracy_on_sft_dev,0.7720797720797721,0.7549857549857549,0.017094017094017144
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,secondary,functionchat_bench.argument_accuracy,0.81,0.83,-0.019999999999999907
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,secondary,functionchat_bench.function_name_accuracy,0.92,0.95,-0.029999999999999916
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,secondary,functionchat_bench.output_type_accuracy,0.81,0.83,-0.019999999999999907
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,secondary,functionchat_bench.tool_hallucination_rate,0.0,0.0,0.0
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,secondary,ifeval_style.instruction_level_accuracy,0.7232704402515723,0.7672955974842768,-0.044025157232704504
r029,behavior_clean_3k_from_r027b,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,secondary,ifeval_style.prompt_level_strict_accuracy,0.5833333333333334,0.6354166666666666,-0.05208333333333326
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,BFCL_category_accuracy.live_multiple,0.6666666666666666,0.7166666666666667,-0.050000000000000044
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,BFCL_category_accuracy.multiple,0.8666666666666667,0.9166666666666666,-0.04999999999999993
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,BFCL_category_accuracy.parallel,0.8,0.6166666666666667,0.18333333333333335
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,BFCL_category_accuracy.relevance,0.03333333333333333,0.13333333333333333,-0.1
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,BFCL_category_accuracy.simple,0.9333333333333333,0.95,-0.016666666666666607
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,BFCL_core_accuracy,0.66,0.6666666666666666,-0.006666666666666599
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,When2Call_behavior_accuracy,0.64,0.5733333333333334,0.06666666666666665
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,When2Call_f1_by_class.direct_answer,0.0,0.0,0.0
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,When2Call_f1_by_class.follow_up,0.6424870466321244,0.4782608695652174,0.164226177066907
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,When2Call_f1_by_class.tool_call,0.7186147186147186,0.6886446886446885,0.029970029970030065
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,When2Call_f1_by_class.unable,0.75,0.7570621468926553,-0.007062146892655274
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,When2Call_macro_F1,0.5277754413117107,0.4809919262756403,0.04678351503607042
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,behavior_accuracy_on_sft_dev,0.81,0.81,0.0
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,nontrivial_error_rate,0.2916666666666667,0.36,-0.0683333333333333
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,permissive_parse_success,1.0,1.0,0.0
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,schema_validity,1.0,1.0,0.0
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,strict_parse_success,0.9914529914529915,0.9629629629629629,0.028490028490028574
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,primary,tool_call_accuracy_on_sft_dev,0.7663817663817664,0.7549857549857549,0.01139601139601143
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.argument_accuracy,0.8,0.83,-0.029999999999999916
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.function_name_accuracy,0.9,0.95,-0.04999999999999993
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.output_type_accuracy,0.8,0.83,-0.029999999999999916
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.tool_hallucination_rate,0.0,0.0,0.0
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,secondary,ifeval_style.instruction_level_accuracy,0.7169811320754716,0.7672955974842768,-0.05031446540880513
r029,behavior_clean_3k_from_r027b,behavior,dpo_best_adapter,final,loss_best_final,secondary,ifeval_style.prompt_level_strict_accuracy,0.5625,0.6354166666666666,-0.07291666666666663
s3d001,noised_gold_unfiltered_3k_control,noised_gold,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.live_multiple,0.7166666666666667,0.7166666666666667,0.0
s3d001,noised_gold_unfiltered_3k_control,noised_gold,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.multiple,0.9333333333333333,0.9166666666666666,0.01666666666666672
