run_id,claim_name,step50_preference_accuracy,first_saturation_step,best_step,final_eval_loss,step50_eval_loss,preferred_adapter_label,intended_metric,step50_intended_delta,final_intended_delta,step50_ifeval_prompt_delta,final_ifeval_prompt_delta,step50_ifeval_instruction_delta,final_ifeval_instruction_delta,interpretation
r028,noised_gold_clean_3k,0.9921875,50,375,0.030458832150543458,0.3052199175581336,step50,BFCL_core_accuracy,0.046666666666666745,0.026666666666666727,-0.0625,-0.11458333333333326,-0.037735849056603876,-0.06289308176100639,preference saturated by step 50; final loss-best adapter is not downstream-best under guardrails
r029,behavior_clean_3k_from_r027b,1.0,50,375,0.0008975347918749321,0.07010184705723077,step50,When2Call_macro_F1,0.048644148612692895,0.04678351503607042,-0.05208333333333326,-0.07291666666666663,-0.044025157232704504,-0.05031446540880513,preference saturated by step 50; final loss-best adapter is not downstream-best under guardrails
s3d001,noised_gold_unfiltered_3k_control,1.0,50,375,0.016157250673131784,0.3539804881438613,step50,BFCL_core_accuracy,0.043333333333333335,0.030000000000000027,-0.0625,-0.10416666666666663,-0.037735849056603876,-0.06918238993710701,preference saturated by step 50; final loss-best adapter is not downstream-best under guardrails
s3d002,behavior_unfiltered_3k_control,1.0,50,375,0.0006310897797447979,0.05974462191807106,step50,When2Call_macro_F1,0.04310624975327554,0.048164318141011464,-0.05208333333333326,-0.07291666666666663,-0.044025157232704504,-0.044025157232704504,preference saturated by step 50; final loss-best adapter is not downstream-best under guardrails
