run_id,checkpoint,metric_source,metric,delta_vs_r004
s3d001,step50,primary,BFCL_category_accuracy.relevance,-0.033333333333333326
s3d001,step50,primary,BFCL_category_accuracy.simple,-0.016666666666666607
s3d001,step50,primary,BFCL_core_accuracy,0.043333333333333335
s3d001,step50,primary,When2Call_behavior_accuracy,0.0033333333333332993
s3d001,step50,primary,When2Call_f1_by_class.direct_answer,0.0
s3d001,step50,primary,When2Call_f1_by_class.follow_up,0.003490955252300809
s3d001,step50,primary,When2Call_f1_by_class.tool_call,-0.01238569583893323
s3d001,step50,primary,When2Call_f1_by_class.unable,0.013052795636080305
s3d001,step50,primary,When2Call_macro_F1,0.0010395137623619433
s3d001,step50,primary,behavior_accuracy_on_sft_dev,0.019999999999999907
s3d001,step50,primary,nontrivial_error_rate,-0.021666666666666667
s3d001,step50,primary,permissive_parse_success,0.0
s3d001,step50,primary,schema_validity,0.0
s3d001,step50,primary,strict_parse_success,0.028490028490028574
s3d001,step50,primary,tool_call_accuracy_on_sft_dev,0.028490028490028574
s3d001,step50,secondary,functionchat_bench.argument_accuracy,0.010000000000000009
s3d001,step50,secondary,functionchat_bench.function_name_accuracy,0.0
s3d001,step50,secondary,functionchat_bench.output_type_accuracy,0.010000000000000009
s3d001,step50,secondary,functionchat_bench.tool_hallucination_rate,0.0
s3d001,step50,secondary,ifeval_style.instruction_level_accuracy,-0.037735849056603876
s3d001,step50,secondary,ifeval_style.prompt_level_strict_accuracy,-0.0625
s3d001,final,primary,BFCL_category_accuracy.live_multiple,0.033333333333333326
s3d001,final,primary,BFCL_category_accuracy.multiple,-0.016666666666666607
s3d001,final,primary,BFCL_category_accuracy.parallel,0.23333333333333328
s3d001,final,primary,BFCL_category_accuracy.relevance,-0.08333333333333333
s3d001,final,primary,BFCL_category_accuracy.simple,-0.016666666666666607
s3d001,final,primary,BFCL_core_accuracy,0.030000000000000027
s3d001,final,primary,When2Call_behavior_accuracy,0.020000000000000018
s3d001,final,primary,When2Call_f1_by_class.direct_answer,0.0
s3d001,final,primary,When2Call_f1_by_class.follow_up,0.021739130434782594
s3d001,final,primary,When2Call_f1_by_class.tool_call,-0.007326007326007078
s3d001,final,primary,When2Call_f1_by_class.unable,0.008652138821630406
s3d001,final,primary,When2Call_macro_F1,0.005766315482601481
s3d001,final,primary,behavior_accuracy_on_sft_dev,-0.03400000000000003
s3d001,final,primary,nontrivial_error_rate,-0.026666666666666672
s3d001,final,primary,permissive_parse_success,0.0
s3d001,final,primary,schema_validity,0.0
s3d001,final,primary,strict_parse_success,-0.03703703703703698
s3d001,final,primary,tool_call_accuracy_on_sft_dev,-0.054131054131054124
s3d001,final,secondary,functionchat_bench.argument_accuracy,0.020000000000000018
s3d001,final,secondary,functionchat_bench.function_name_accuracy,-0.010000000000000009
s3d001,final,secondary,functionchat_bench.output_type_accuracy,0.020000000000000018
s3d001,final,secondary,functionchat_bench.tool_hallucination_rate,0.0
s3d001,final,secondary,ifeval_style.instruction_level_accuracy,-0.06918238993710701
s3d001,final,secondary,ifeval_style.prompt_level_strict_accuracy,-0.10416666666666663
s3d002,step50,primary,BFCL_category_accuracy.live_multiple,-0.033333333333333326
s3d002,step50,primary,BFCL_category_accuracy.multiple,-0.016666666666666607
s3d002,step50,primary,BFCL_category_accuracy.parallel,0.23333333333333328
s3d002,step50,primary,BFCL_category_accuracy.relevance,-0.08333333333333333
s3d002,step50,primary,BFCL_category_accuracy.simple,-0.016666666666666607
s3d002,step50,primary,BFCL_core_accuracy,0.01666666666666672
s3d002,step50,primary,When2Call_behavior_accuracy,0.053333333333333344
s3d002,step50,primary,When2Call_f1_by_class.direct_answer,0.0
s3d002,step50,primary,When2Call_f1_by_class.follow_up,0.14601658708218157
s3d002,step50,primary,When2Call_f1_by_class.tool_call,0.034932547127669134
s3d002,step50,primary,When2Call_f1_by_class.unable,-0.008524135196748772
s3d002,step50,primary,When2Call_macro_F1,0.04310624975327554
s3d002,step50,primary,behavior_accuracy_on_sft_dev,0.013999999999999901
s3d002,step50,primary,nontrivial_error_rate,-0.05166666666666664
s3d002,step50,primary,permissive_parse_success,0.0
s3d002,step50,primary,schema_validity,0.0
s3d002,step50,primary,strict_parse_success,0.028490028490028574
s3d002,step50,primary,tool_call_accuracy_on_sft_dev,0.017094017094017144
s3d002,step50,secondary,functionchat_bench.argument_accuracy,-0.019999999999999907
s3d002,step50,secondary,functionchat_bench.function_name_accuracy,-0.029999999999999916
s3d002,step50,secondary,functionchat_bench.output_type_accuracy,-0.019999999999999907
s3d002,step50,secondary,functionchat_bench.tool_hallucination_rate,0.0
s3d002,step50,secondary,ifeval_style.instruction_level_accuracy,-0.044025157232704504
s3d002,step50,secondary,ifeval_style.prompt_level_strict_accuracy,-0.05208333333333326
s3d002,final,primary,BFCL_category_accuracy.live_multiple,-0.050000000000000044
s3d002,final,primary,BFCL_category_accuracy.multiple,-0.04999999999999993
s3d002,final,primary,BFCL_category_accuracy.parallel,0.19999999999999996
s3d002,final,primary,BFCL_category_accuracy.relevance,-0.1
s3d002,final,primary,BFCL_category_accuracy.simple,-0.016666666666666607
s3d002,final,primary,BFCL_core_accuracy,-0.0033333333333332993
s3d002,final,primary,When2Call_behavior_accuracy,0.06666666666666665
s3d002,final,primary,When2Call_f1_by_class.direct_answer,0.0
s3d002,final,primary,When2Call_f1_by_class.follow_up,0.164226177066907
s3d002,final,primary,When2Call_f1_by_class.tool_call,0.03549324238979423
s3d002,final,primary,When2Call_f1_by_class.unable,-0.007062146892655274
s3d002,final,primary,When2Call_macro_F1,0.048164318141011464
s3d002,final,primary,behavior_accuracy_on_sft_dev,0.0
s3d002,final,primary,nontrivial_error_rate,-0.065
s3d002,final,primary,permissive_parse_success,0.0
s3d002,final,primary,schema_validity,0.0
s3d002,final,primary,strict_parse_success,0.028490028490028574
s3d002,final,primary,tool_call_accuracy_on_sft_dev,0.014245014245014342
s3d002,final,secondary,functionchat_bench.argument_accuracy,-0.029999999999999916
s3d002,final,secondary,functionchat_bench.function_name_accuracy,-0.04999999999999993
s3d002,final,secondary,functionchat_bench.output_type_accuracy,-0.029999999999999916
s3d002,final,secondary,functionchat_bench.tool_hallucination_rate,0.0
s3d002,final,secondary,ifeval_style.instruction_level_accuracy,-0.044025157232704504
s3d002,final,secondary,ifeval_style.prompt_level_strict_accuracy,-0.07291666666666663
