run_id,checkpoint,metric_source,metric,score
r029,final,primary,BFCL_core_accuracy,0.66
r029,final,primary,When2Call_behavior_accuracy,0.64
r029,final,primary,When2Call_f1_by_class.direct_answer,0.0
r029,final,primary,When2Call_f1_by_class.follow_up,0.6424870466321244
r029,final,primary,When2Call_f1_by_class.tool_call,0.7186147186147186
r029,final,primary,When2Call_f1_by_class.unable,0.75
r029,final,primary,When2Call_macro_F1,0.5277754413117107
r029,final,primary,behavior_accuracy_on_sft_dev,0.81
r029,final,primary,nontrivial_error_rate,0.2916666666666667
r029,final,primary,permissive_parse_success,1.0
r029,final,primary,schema_validity,1.0
r029,final,primary,strict_parse_success,0.9914529914529915
r029,final,primary,tool_call_accuracy_on_sft_dev,0.7663817663817664
r029,final,secondary,functionchat_bench.argument_accuracy,0.8
r029,final,secondary,functionchat_bench.function_name_accuracy,0.9
r029,final,secondary,functionchat_bench.output_type_accuracy,0.8
r029,final,secondary,functionchat_bench.tool_hallucination_rate,0.0
r029,final,secondary,ifeval_style.instruction_level_accuracy,0.7169811320754716
r029,final,secondary,ifeval_style.prompt_level_strict_accuracy,0.5625
s3d001,step50,primary,BFCL_category_accuracy.live_multiple,0.7166666666666667
s3d001,step50,primary,BFCL_category_accuracy.multiple,0.9333333333333333
s3d001,step50,primary,BFCL_category_accuracy.parallel,0.8666666666666667
s3d001,step50,primary,BFCL_category_accuracy.relevance,0.1
s3d001,step50,primary,BFCL_category_accuracy.simple,0.9333333333333333
s3d001,step50,primary,BFCL_core_accuracy,0.71
s3d001,step50,primary,When2Call_behavior_accuracy,0.5766666666666667
s3d001,step50,primary,When2Call_f1_by_class.direct_answer,0.0
s3d001,step50,primary,When2Call_f1_by_class.follow_up,0.4817518248175182
s3d001,step50,primary,When2Call_f1_by_class.tool_call,0.6762589928057553
s3d001,step50,primary,When2Call_f1_by_class.unable,0.7701149425287356
s3d001,step50,primary,When2Call_macro_F1,0.48203144003800225
s3d001,step50,primary,behavior_accuracy_on_sft_dev,0.83
s3d001,step50,primary,nontrivial_error_rate,0.3383333333333333
s3d001,step50,primary,permissive_parse_success,1.0
s3d001,step50,primary,schema_validity,1.0
s3d001,step50,primary,strict_parse_success,0.9914529914529915
s3d001,step50,primary,tool_call_accuracy_on_sft_dev,0.7834757834757835
s3d001,step50,secondary,functionchat_bench.argument_accuracy,0.84
s3d001,step50,secondary,functionchat_bench.function_name_accuracy,0.95
s3d001,step50,secondary,functionchat_bench.output_type_accuracy,0.84
s3d001,step50,secondary,functionchat_bench.tool_hallucination_rate,0.0
s3d001,step50,secondary,ifeval_style.instruction_level_accuracy,0.7295597484276729
s3d001,step50,secondary,ifeval_style.prompt_level_strict_accuracy,0.5729166666666666
s3d001,final,primary,BFCL_category_accuracy.live_multiple,0.75
s3d001,final,primary,BFCL_category_accuracy.multiple,0.9
s3d001,final,primary,BFCL_category_accuracy.parallel,0.85
s3d001,final,primary,BFCL_category_accuracy.relevance,0.05
s3d001,final,primary,BFCL_category_accuracy.simple,0.9333333333333333
s3d001,final,primary,BFCL_core_accuracy,0.6966666666666667
s3d001,final,primary,When2Call_behavior_accuracy,0.5933333333333334
s3d001,final,primary,When2Call_f1_by_class.direct_answer,0.0
s3d001,final,primary,When2Call_f1_by_class.follow_up,0.5
s3d001,final,primary,When2Call_f1_by_class.tool_call,0.6813186813186815
s3d001,final,primary,When2Call_f1_by_class.unable,0.7657142857142857
s3d001,final,primary,When2Call_macro_F1,0.4867582417582418
s3d001,final,primary,behavior_accuracy_on_sft_dev,0.776
s3d001,final,primary,nontrivial_error_rate,0.3333333333333333
s3d001,final,primary,permissive_parse_success,1.0
s3d001,final,primary,schema_validity,1.0
s3d001,final,primary,strict_parse_success,0.9259259259259259
s3d001,final,primary,tool_call_accuracy_on_sft_dev,0.7008547008547008
s3d001,final,secondary,functionchat_bench.argument_accuracy,0.85
s3d001,final,secondary,functionchat_bench.function_name_accuracy,0.94
s3d001,final,secondary,functionchat_bench.output_type_accuracy,0.85
s3d001,final,secondary,functionchat_bench.tool_hallucination_rate,0.0
s3d001,final,secondary,ifeval_style.instruction_level_accuracy,0.6981132075471698
s3d001,final,secondary,ifeval_style.prompt_level_strict_accuracy,0.53125
s3d002,step50,primary,BFCL_category_accuracy.live_multiple,0.6833333333333333
s3d002,step50,primary,BFCL_category_accuracy.multiple,0.9
s3d002,step50,primary,BFCL_category_accuracy.parallel,0.85
s3d002,step50,primary,BFCL_category_accuracy.relevance,0.05
s3d002,step50,primary,BFCL_category_accuracy.simple,0.9333333333333333
s3d002,step50,primary,BFCL_core_accuracy,0.6833333333333333
s3d002,step50,primary,When2Call_behavior_accuracy,0.6266666666666667
s3d002,step50,primary,When2Call_f1_by_class.direct_answer,0.0
s3d002,step50,primary,When2Call_f1_by_class.follow_up,0.624277456647399
s3d002,step50,primary,When2Call_f1_by_class.tool_call,0.7235772357723577
s3d002,step50,primary,When2Call_f1_by_class.unable,0.7485380116959065
s3d002,step50,primary,When2Call_macro_F1,0.5240981760289158
s3d002,step50,primary,behavior_accuracy_on_sft_dev,0.824
s3d002,step50,primary,nontrivial_error_rate,0.30833333333333335
s3d002,step50,primary,permissive_parse_success,1.0
s3d002,step50,primary,schema_validity,1.0
s3d002,step50,primary,strict_parse_success,0.9914529914529915
s3d002,step50,primary,tool_call_accuracy_on_sft_dev,0.7720797720797721
s3d002,step50,secondary,functionchat_bench.argument_accuracy,0.81
s3d002,step50,secondary,functionchat_bench.function_name_accuracy,0.92
s3d002,step50,secondary,functionchat_bench.output_type_accuracy,0.81
s3d002,step50,secondary,functionchat_bench.tool_hallucination_rate,0.0
s3d002,step50,secondary,ifeval_style.instruction_level_accuracy,0.7232704402515723
s3d002,step50,secondary,ifeval_style.prompt_level_strict_accuracy,0.5833333333333334
s3d002,final,primary,BFCL_category_accuracy.live_multiple,0.6666666666666666
s3d002,final,primary,BFCL_category_accuracy.multiple,0.8666666666666667
s3d002,final,primary,BFCL_category_accuracy.parallel,0.8166666666666667
s3d002,final,primary,BFCL_category_accuracy.relevance,0.03333333333333333
s3d002,final,primary,BFCL_category_accuracy.simple,0.9333333333333333
s3d002,final,primary,BFCL_core_accuracy,0.6633333333333333
s3d002,final,primary,When2Call_behavior_accuracy,0.64
s3d002,final,primary,When2Call_f1_by_class.direct_answer,0.0
s3d002,final,primary,When2Call_f1_by_class.follow_up,0.6424870466321244
s3d002,final,primary,When2Call_f1_by_class.tool_call,0.7241379310344828
s3d002,final,primary,When2Call_f1_by_class.unable,0.75
s3d002,final,primary,When2Call_macro_F1,0.5291562444166518
s3d002,final,primary,behavior_accuracy_on_sft_dev,0.81
s3d002,final,primary,nontrivial_error_rate,0.295
s3d002,final,primary,permissive_parse_success,1.0
s3d002,final,primary,schema_validity,1.0
s3d002,final,primary,strict_parse_success,0.9914529914529915
s3d002,final,primary,tool_call_accuracy_on_sft_dev,0.7692307692307693
s3d002,final,secondary,functionchat_bench.argument_accuracy,0.8
s3d002,final,secondary,functionchat_bench.function_name_accuracy,0.9
s3d002,final,secondary,functionchat_bench.output_type_accuracy,0.8
s3d002,final,secondary,functionchat_bench.tool_hallucination_rate,0.0
s3d002,final,secondary,ifeval_style.instruction_level_accuracy,0.7232704402515723
s3d002,final,secondary,ifeval_style.prompt_level_strict_accuracy,0.5625
