run_id,checkpoint,benchmark,task,category,prompt_id,prompt_hash,expected_behavior,observed_behavior,exact_match,strict_parse_success,permissive_parse_success,schema_valid,nontrivial_error,primary_error,call_count,expected_call_count,generated_sha256,generation_input_tokens,generation_output_tokens
r028,final,sft_dev,sft_dev,xlam,xlam:36726,8677e567105b64e3e7790bd4f3953b46194143d16f0d41510ffb89e26600a41b,tool_call,tool_call,True,True,True,True,False,,2,2,f33d6b48bc0b5e13fe18c76a48555e71f155cc7c48a37dd0bb9e4abc55b484e4,376,89
r028,final,sft_dev,sft_dev,xlam,xlam:37598,bd686ace8333b593688e6ccd1416fb4c9af5e2d20a808fc975f15480eeabfd80,tool_call,tool_call,True,True,True,True,False,,1,1,15b3a1fb8591b07083a690cabe97794ba98b8976f457161a328a039320745dbd,657,89
r028,final,sft_dev,sft_dev,xlam,xlam:44649,d34bda11f64fed484200c4445c5ace46af71faad6f9b05cffa87845d31613605,tool_call,tool_call,True,True,True,True,False,,1,1,f55e65c99ef92384ea40ddef8db53e9f61f4d976a19d880c17143cf5ba089447,141,89
r028,final,sft_dev,sft_dev,xlam,xlam:24410,819dac27cc8e29635aeac2d3038c37bd87bc1bbc587cf0de0e0218dd4869260b,tool_call,tool_call,True,True,True,True,False,,2,2,31cb2c969f53369037b6fcd4669081748aab8bc40ea5bfe756cd11de2fbd937c,440,89
r028,final,sft_dev,sft_dev,xlam,xlam:29001,34bab98365292b204003a48572090bf9576e3d4463e5f3c96a214097375361b4,tool_call,tool_call,True,True,True,True,False,,1,1,536f929c22e87322b4f3c60fffaa9baefadc94583bc2f8a904bb5a3af60e6ea8,163,89
r028,final,sft_dev,sft_dev,xlam,xlam:9141,ef70d8e604c8b7a77d0657362dcbeaff99f15c9c42195d27b034aadca80d9be3,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,3,3,70b8366fc7b62d606dec7efab4fceed2dadd3e71cdcbf95c04054d187a1e2889,257,89
r028,final,sft_dev,sft_dev,xlam,xlam:4579,37779777d94e0eaee1054b6ecf17e46737a51bd175392ceb59736d8b16f4051b,tool_call,tool_call,True,True,True,True,False,,1,1,46a2ba391b54df8908d9ffac57124941458ab16721d24e10b09622302fee764a,388,89
r028,final,sft_dev,sft_dev,xlam,xlam:29169,c06196759212fcd7aaa62f44f91d866c9389c8903dfb66d575b48f8944ea7a80,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,21cd1126f99b4642d4524c23277ac061b2e4fdc3081e50c95001b36754939d5d,178,89
r028,final,sft_dev,sft_dev,xlam,xlam:9408,6151656669e660cabf9a97a0efaf86063a1892aeca29c63418b96663b39418dd,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,373fc708b18567b5b142c571ce6dc6c1d07d55a9c796c6e8dc6e7610ec55fe66,152,89
r028,final,sft_dev,sft_dev,xlam,xlam:42356,a700cf8c36054f382acc622bc533f11ec51dffc98571ab9b8246a81068b7f213,tool_call,tool_call,True,True,True,True,False,,3,3,2c5d48f548835dc6932431b5307035c36787550e21e0fbf425fa8ae192bc7672,292,89
r028,final,sft_dev,sft_dev,xlam,xlam:32200,4d64036dbbf8d33af3c4c7567323102db9610d200faa29ae6585e198e35643c3,tool_call,tool_call,True,True,True,True,False,,1,1,fd22c613267fc9be4b8e553dbfeda1040674fbae21fe256997aefc735231cab3,245,89
r028,final,sft_dev,sft_dev,xlam,xlam:54479,5f7e461bc52ceaed10a5178ed9991058135b825ab4585f8e6144ea9576667b63,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,4549a0b9b13b2e460f81ffa6e8128ca5a81c9cab4d74d8efd630d8cbb73d466e,228,128
r028,final,sft_dev,sft_dev,xlam,xlam:19067,b225d51ee000d08cdc9c109696af30ab6b8fdb1077ad786ef7011b4b6e127401,tool_call,tool_call,True,True,True,True,False,,1,1,2f6559ab3ca07c523b0561679efd7366eb9eff80eb96b7b0fc588f19762309b0,562,128
r028,final,sft_dev,sft_dev,xlam,xlam:35425,45b9f751fb92804b7aea81dd5ebf8c118eeebdc16ca1c02e2a60bac9a210a49b,tool_call,tool_call,True,True,True,True,False,,1,1,27055e3612f8ed80658a66448b649cd9b454e00e5f81687104f65032f99237a8,481,128
r028,final,sft_dev,sft_dev,xlam,xlam:44322,14e85add32d31d17c891cfa863c6083769a8a0b5ddc51ec64cdfab660f1fe7d3,tool_call,tool_call,True,True,True,True,False,,2,2,eabd2b13e8eefaab5ba9afdbefda7aaf7294f32f0ff03ef274a5ac0b86b0cb2b,290,128
r028,final,sft_dev,sft_dev,xlam,xlam:16007,ce738fd2cdb0d60ee616e5310ef1be3382531c77d3b73f3b3f82f360b8eb1f1a,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,3,3,96a7bb737747aed0fa871a2f0059fbc145db862c50e71a5d6670aaafe5738de0,456,128
r028,final,sft_dev,sft_dev,xlam,xlam:4278,284410e66b6bccbb2efb50847b00041c9ccf9fd46c4c41b6be400b2818ce6fa2,tool_call,tool_call,True,True,True,True,False,,2,2,e12138cb8024dabbc8fd2a925e1a1993b8c5e2a119fd6506c2fef0420ed5a897,667,128
r028,final,sft_dev,sft_dev,xlam,xlam:34573,106efff47ab63a13052c0b55e754d3e305cfdd4254008a5b8cacdc8a6c623a6c,tool_call,tool_call,True,True,True,True,False,,2,2,263614d52da46b4cc2936585247db364378792a5eb8f01c1bedf68123f6e9c10,353,128
r028,final,sft_dev,sft_dev,xlam,xlam:23773,9cecafe2a33b184cb6e246c01f0ea5bbf738aab89075167bb2fe6be166bb13bf,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,c597e31480d108b3da666175b27b1f4f8272c0907ff0b1b4dd99f324298f8ea0,207,128
r028,final,sft_dev,sft_dev,xlam,xlam:9962,b2daa05ee78e434dff4f56f43f7a699524eb1cc58f32625bc7ac25566734536e,tool_call,tool_call,True,True,True,True,False,,2,2,548fd66cda7bdb792635a948f41a6ec01a1d519425d1ac69695454e60f9f3fe7,985,128
r028,final,sft_dev,sft_dev,xlam,xlam:37039,6e1529e01fda5b28ff008500f6fe28505508277e23c4ddff3ad03ae27f582e03,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,1,1,97b49857309d74b7d2142bb09ece5c4c2b3ab500cf2c2dbc06de2c0efc1832fb,171,128
r028,final,sft_dev,sft_dev,xlam,xlam:54864,f387aeb19b321302f4edb1ae7f8d0281c62d8fd4dd8bc7e778ffcd977abcbe2d,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,0838cf0fed49905c12515cb07d32ab8104b22e6a5fd8829326b183a13632424b,126,128
r028,final,sft_dev,sft_dev,xlam,xlam:34724,a0d109c55ccbec02d89f33a005285fd073648e1409ae0c00e20b622610dbac47,tool_call,tool_call,True,True,True,True,False,,2,2,b9fe2a8da4fd28c25bd847ccc10ee2f0b0c1ac6996ecaa09fe94ec8651f3ba2c,300,128
r028,final,sft_dev,sft_dev,xlam,xlam:1063,d94d72a9d5ac567336ecd3a84c803cc810e84bb76ec59a37184974f86fefb689,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,958bc7ba11f498adebbc68f22510e8eb6cc6a56a3632611b2131ccc889a24f00,935,128
r028,final,sft_dev,sft_dev,xlam,xlam:28331,0b3f5ef0111ec1d0d11b5d1cb64e00c2049eab5c2522f635e639a622bc64a53d,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,4,4,9dc8247c2c5da224ea17f1809392699fc97957dbd5ecf72ecf0117d9a5f1596e,244,128
r028,final,sft_dev,sft_dev,xlam,xlam:5111,ee9c82e6de566f52023958cafe906bcc03e3451f112ae41f541c662598bea6df,tool_call,tool_call,True,True,True,True,False,,2,2,54f1e57fad2a5bcb0192c38beb24906b8296f0e5632cd04e3f9744ffe1389995,207,128
