run_id,status,audit_item_count,validator_agreement,mini_dpo_audit_gate_pass,summary
r017c,complete,,0.6433333333333333,False,"{""claim_scope"":""independent LLM-judge audit; not human-validated"",""external_adjudicator_item_count"":227,""final_label_count"":300,""local_disagreement_count"":215,""mini_dpo_independent_audit_gate_pass"":false,""status"":""complete"",""validator_final_agreement"":0.6433333333333333}"
r017d,,300,,,"{""audit_item_count"":300,""legacy_validator_vs_final_agreement"":0.6433333333333333,""legacy_validator_vs_final_confusion"":{""fn"":15,""fp"":92,""tn"":55,""tp"":138},""reference"":""r017c_final_llm_audit_labels"",""source_stratified"":{""noised_gold"":{""count"":100,""legacy_vs_final_agreement"":0.65,""strict_vs_final_agreement"":0.82,""strict_vs_final_confusion"":{""fn"":18,""fp"":0,""tn"":35,""tp"":47}},""self"":{""count"":100,""legacy_vs_final_agreement"":0.51,""strict_vs_final_agreement"":0.61,""strict_vs_final_confusion"":{""fn"":6,""fp"":33,""tn"":17,""tp"":44}},""weak_model"":{""count"":100,""legacy_vs_final_agreement"":0.77,""strict_vs_final_agreement"":0.78,""strict_vs_final_confusion"":{""fn"":17,""fp"":5,""tn"":57,""tp"":21}}},""strict_false_negative_count"":41,""strict_false_positive_count"":38,""strict_schema_error_kinds_on_legacy_fp"":{""enum_mismatch"":1,""extra_argument"":24,""missing_required_argument"":28,""null_not_allowed"":1,""type_mismatch"":23},""strict_validator_vs_final_agreement"":0.7366666666666667,""strict_validator_vs_final_confusion"":{""fn"":41,""fp"":38,""tn"":109,""tp"":112}}"
r017j,complete,300,0.7365591397849462,,"{""audit_item_count"":300,""comparable_unchanged_count"":186,""noncomparable_repaired_count"":114,""status"":""complete"",""strict_vs_r017c_final_agreement_on_comparable_unchanged"":0.7365591397849462}"
r017m,complete,,0.7566666666666667,False,"{""claim_scope"":""independent LLM-judge audit; not human-validated"",""final_label_count"":300,""local_gptoss_vs_final_agreement"":0.9166666666666666,""mini_dpo_independent_audit_gate_pass"":false,""status"":""complete"",""validator_final_agreement"":0.7566666666666667}"
