comparison,a_run,b_run,a_adapter,b_adapter,metric,status,point_delta,ci95_low,ci95_high,groups,iterations
step50_vs_final,r029,r029,step50,final,When2Call_macro_F1,complete,0.0018606335766224724,-0.016589726576404118,0.019603933366037718,1100,1000
step50_vs_final,r029,r029,step50,final,strict_parse_success,complete,0.0,0.0,0.0,1100,1000
step50_vs_final,r029,r029,step50,final,tool_call_accuracy_on_sft_dev,complete,0.005698005698005715,-0.008264462809917328,0.02011494252873569,1100,1000
step50_vs_final,r029,r029,step50,final,behavior_accuracy_on_sft_dev,complete,0.0119999999999999,0.0,0.025742574257425654,1100,1000
step50_vs_final,r029,r029,step50,final,nontrivial_error_rate,complete,0.008333333333333304,-0.005119453924914696,0.02192242833052277,1100,1000
step50_vs_final,s3d001,s3d001,step50,final,BFCL_core_accuracy,complete,0.013333333333333308,-0.0064102564102563875,0.03412969283276457,1100,1000
step50_vs_final,s3d001,s3d001,step50,final,When2Call_behavior_accuracy,complete,-0.01666666666666672,-0.03819444444444453,0.003597122302158251,1100,1000
step50_vs_final,s3d001,s3d001,step50,final,When2Call_macro_F1,complete,-0.004726801720239537,-0.020954117379192838,0.011432027115112597,1100,1000
step50_vs_final,s3d001,s3d001,step50,final,strict_parse_success,complete,0.06552706552706555,0.04180064308681675,0.09348441926345608,1100,1000
step50_vs_final,s3d001,s3d001,step50,final,tool_call_accuracy_on_sft_dev,complete,0.0826210826210827,0.05208333333333326,0.1160714285714286,1100,1000
step50_vs_final,s3d001,s3d001,step50,final,behavior_accuracy_on_sft_dev,complete,0.05399999999999994,0.03105590062111807,0.08000000000000007,1100,1000
step50_vs_final,s3d001,s3d001,step50,final,nontrivial_error_rate,complete,0.0050000000000000044,-0.008503401360544227,0.0187074829931973,1100,1000
step50_vs_final,s3d002,s3d002,step50,final,BFCL_core_accuracy,complete,0.020000000000000018,0.006535947712418277,0.03623188405797095,1100,1000
step50_vs_final,s3d002,s3d002,step50,final,When2Call_behavior_accuracy,complete,-0.013333333333333308,-0.0383386581469648,0.009933774834437137,1100,1000
step50_vs_final,s3d002,s3d002,step50,final,When2Call_macro_F1,complete,-0.005058068387735926,-0.024992086824439097,0.013922925451259172,1100,1000
step50_vs_final,s3d002,s3d002,step50,final,strict_parse_success,complete,0.0,0.0,0.0,1100,1000
step50_vs_final,s3d002,s3d002,step50,final,tool_call_accuracy_on_sft_dev,complete,0.002849002849002802,-0.008902077151335286,0.015060240963855387,1100,1000
step50_vs_final,s3d002,s3d002,step50,final,behavior_accuracy_on_sft_dev,complete,0.013999999999999901,0.0019723865877712132,0.02788844621513953,1100,1000
step50_vs_final,s3d002,s3d002,step50,final,nontrivial_error_rate,complete,0.013333333333333364,0.0,0.027642276422764234,1100,1000
