run_id,source,cleanliness,adapter_label,intended_metric,intended_delta,bfcl_core_delta,when2call_macro_f1_delta,ifeval_prompt_strict_delta,ifeval_instruction_delta,functionchat_function_name_delta
r028,noised_gold,clean,step50,BFCL_core_accuracy,0.046666666666666745,0.046666666666666745,-0.004462176193548217,-0.0625,-0.037735849056603876,0.0
r028,noised_gold,clean,final,BFCL_core_accuracy,0.026666666666666727,0.026666666666666727,-0.0015412995848747557,-0.11458333333333326,-0.06289308176100639,-0.010000000000000009
r029,behavior,clean,step50,When2Call_macro_F1,0.048644148612692895,0.01333333333333342,0.048644148612692895,-0.05208333333333326,-0.044025157232704504,-0.029999999999999916
r029,behavior,clean,final,When2Call_macro_F1,0.04678351503607042,-0.006666666666666599,0.04678351503607042,-0.07291666666666663,-0.05031446540880513,-0.04999999999999993
s3d001,noised_gold,unfiltered,step50,BFCL_core_accuracy,0.043333333333333335,0.043333333333333335,0.0010395137623619433,-0.0625,-0.037735849056603876,0.0
s3d001,noised_gold,unfiltered,final,BFCL_core_accuracy,0.030000000000000027,0.030000000000000027,0.005766315482601481,-0.10416666666666663,-0.06918238993710701,-0.010000000000000009
s3d002,behavior,unfiltered,step50,When2Call_macro_F1,0.04310624975327554,0.01666666666666672,0.04310624975327554,-0.05208333333333326,-0.044025157232704504,-0.029999999999999916
s3d002,behavior,unfiltered,final,When2Call_macro_F1,0.048164318141011464,-0.0033333333333332993,0.048164318141011464,-0.07291666666666663,-0.044025157232704504,-0.04999999999999993
